index,name_zh,name_original,current_images,missing,folder
21,"加缪","Albert Camus",1,1,"C:\Users\30290\Desktop\PhilosophyOS\photo\加缪"
25,"西塞罗","Cicero",1,1,"C:\Users\30290\Desktop\PhilosophyOS\photo\西塞罗"
28,"德勒兹","Gilles Deleuze",1,1,"C:\Users\30290\Desktop\PhilosophyOS\photo\德勒兹"
32,"笛卡尔","Rene Descartes",1,1,"C:\Users\30290\Desktop\PhilosophyOS\photo\笛卡尔"
42,"费尔巴哈","Ludwig Feuerbach",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\费尔巴哈"
43,"费耶阿本德","Paul Feyerabend",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\费耶阿本德"
45,"福柯","Michel Foucault",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\福柯"
46,"弗雷格","Gottlob Frege",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\弗雷格"
47,"摩尔","G. E. Moore",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\摩尔"
48,"伽达默尔","Hans-Georg Gadamer",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\伽达默尔"
49,"齐美尔","Georg Simmel",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\齐美尔"
50,"布鲁诺","Giordano Bruno",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\布鲁诺"
51,"葛兰西","Antonio Gramsci",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\葛兰西"
52,"哈贝马斯","Jurgen Habermas",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\哈贝马斯"
53,"唐娜·哈拉维","Donna Haraway",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\唐娜·哈拉维"
54,"哈耶克","Friedrich Hayek",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\哈耶克"
55,"黑格尔","Georg Wilhelm Friedrich Hegel",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\黑格尔"
56,"海德格尔","Martin Heidegger",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\海德格尔"
57,"赫拉克利特","Heraclitus",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\赫拉克利特"
58,"普特南","Hilary Putnam",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\普特南"
59,"霍布斯","Thomas Hobbes",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\霍布斯"
60,"霍克海默","Max Horkheimer",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\霍克海默"
61,"休谟","David Hume",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\休谟"
62,"胡塞尔","Edmund Husserl",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\胡塞尔"
63,"拉康","Jacques Lacan",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\拉康"
64,"雅斯贝尔斯","Karl Jaspers",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\雅斯贝尔斯"
65,"鲍德里亚","Jean Baudrillard",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\鲍德里亚"
66,"皮亚杰","Jean Piaget",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\皮亚杰"
67,"康德","Immanuel Kant",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\康德"
68,"克尔凯郭尔","Soren Kierkegaard",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\克尔凯郭尔"
69,"库恩","Thomas Kuhn",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\库恩"
70,"莱布尼茨","Gottfried Wilhelm Leibniz",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\莱布尼茨"
71,"维果茨基","Lev Vygotsky",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\维果茨基"
72,"列维纳斯","Emmanuel Levinas",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\列维纳斯"
73,"洛克","John Locke",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\洛克"
74,"卢克莱修","Lucretius",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\卢克莱修"
75,"马基雅维利","Niccolo Machiavelli",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\马基雅维利"
